kick_result,kick_distance,game_seconds_remaining,total_home_score,total_away_score,home_team,away_team,posteam_score,defteam_score,score_differential
1,43,2714,0,3,TB,WAS,0,0,0
0,30,2315,0,3,TB,WAS,0,3,-3
1,33,1926,3,3,TB,WAS,0,3,-3
1,43,1824,3,6,TB,WAS,3,3,0
0,48,1152,3,6,TB,WAS,3,6,-3
1,26,726,3,16,TB,WAS,13,3,10
1,54,2637,0,17,NYJ,BUF,14,0,14
1,55,1802,3,31,NYJ,BUF,0,31,-31
1,31,167,10,41,NYJ,BUF,38,10,28
1,28,1809,29,16,IND,JAX,13,29,-16
0,52,962,29,23,IND,JAX,23,29,-6
1,55,248,29,26,IND,JAX,23,29,-6
0,52,178,29,26,IND,JAX,29,26,3
1,46,2876,3,0,OAK,LAC,0,0,0
1,27,2150,3,3,OAK,LAC,0,3,-3
1,30,893,6,17,OAK,LAC,3,17,-14
1,41,436,6,20,OAK,LAC,17,6,11
1,35,2693,10,14,LA,SEA,7,14,-7
1,37,1489,20,14,LA,SEA,17,14,3
1,33,596,26,24,LA,SEA,21,26,-5
1,20,459,29,24,LA,SEA,26,24,2
1,37,2782,7,3,GB,MIA,0,7,-7
1,25,2433,14,6,GB,MIA,3,14,-11
1,47,1974,14,9,GB,MIA,6,14,-8
1,40,1603,14,12,GB,MIA,9,14,-5
1,38,537,31,12,GB,MIA,28,12,16
1,25,3122,0,3,PHI,DAL,0,0,0
1,31,2025,0,6,PHI,DAL,3,0,3
1,56,1898,3,6,PHI,DAL,0,6,-6
1,26,1479,6,13,PHI,DAL,3,13,-10
0,42,1363,6,13,PHI,DAL,13,6,7
1,53,3318,3,0,SF,NYG,0,0,0
1,20,1913,10,10,SF,NYG,7,10,-3
1,36,1807,13,10,SF,NYG,10,10,0
1,31,1034,20,20,SF,NYG,17,20,-3
1,30,170,23,20,SF,NYG,20,20,0
0,47,3351,0,7,SEA,GB,7,0,7
1,39,3064,3,7,SEA,GB,0,7,-7
1,43,738,20,21,SEA,GB,17,21,-4
1,36,507,20,24,SEA,GB,21,20,1
1,28,1907,10,7,BAL,CIN,7,7,0
1,56,1805,13,7,BAL,CIN,10,7,3
1,24,495,24,21,BAL,CIN,21,21,0
0,52,244,24,21,BAL,CIN,21,24,-3
1,21,2880,0,3,ATL,DAL,0,0,0
1,41,2696,3,3,ATL,DAL,0,3,-3
1,45,1834,6,3,ATL,DAL,3,3,0
1,50,1520,6,6,ATL,DAL,3,6,-3
1,53,1336,9,6,ATL,DAL,6,6,0
1,21,508,12,19,ATL,DAL,9,19,-10
1,42,3,19,22,ATL,DAL,19,19,0
1,52,1329,23,7,NYG,TB,20,7,13
1,48,2595,3,0,JAX,PIT,0,0,0
1,38,2314,6,0,JAX,PIT,3,0,3
1,43,2021,9,0,JAX,PIT,6,0,6
1,23,3275,0,3,WAS,HOU,0,0,0
0,44,1836,7,16,WAS,HOU,16,7,9
1,33,982,14,19,WAS,HOU,16,14,2
1,54,455,21,22,WAS,HOU,19,21,-2
0,45,56,21,22,WAS,HOU,22,21,1
0,63,8,21,22,WAS,HOU,21,22,-1
1,22,2464,10,0,IND,TEN,7,0,7
1,42,1803,24,3,IND,TEN,0,24,-24
1,54,1842,10,7,DET,CAR,7,7,0
0,34,1456,10,7,DET,CAR,7,10,-3
1,32,1131,13,7,DET,CAR,10,7,3
1,46,3125,3,0,LAC,DEN,0,0,0
1,45,2745,6,0,LAC,DEN,3,0,3
1,30,411,22,20,LAC,DEN,19,20,-1
